borough,developmen,tds_num,Latitude,Longitude,scores_SCORE,NYCHA-data_CONSOLIDATED TDS#,NYCHA-data_NUMBER OF CURRENT APARTMENTS,NYCHA-data_TOTAL NUMBER OF APARTMENTS,NYCHA-data_NUMBER OF RENTAL ROOMS,NYCHA-data_AVG NO R/R PER APARTMENT,NYCHA-data_POPULATION PUBLIC HOUSING,NYCHA_data_TOTALPOPULATION,NYCHA-data_TOTAL # OF FIXED INCOME HOUSEHOLD,NYCHA-data_PERCENT FIXED INCOME HOUSEHOLDS,NYCHA-data_NUMBER OF RESIDENTIAL BLDGS,NYCHA-data_NUMBER OF NON-RESIDENTIAL BLDGS,NYCHA-data_PER RENTAL ROOM,NYCHA-data_AVG MONTHLY GROSS RENT
BRONX,MILL BROOK,84,40.805368,-73.917973,0.810973950055556,84,"1,251","1,255","5,799.5",4.64,"2,814","2,814",484,0.392,9,0,"$3,898.00",$479.00
BRONX,MILL BROOK EXTENSION,132,40.804116,-73.915972,0.625790849411765,84,125,125,611.5,4.89,297,297,54,0.432,1,0,"$3,198.00",$462.00
BRONX,MITCHEL,145,40.809098,-73.925808,0.576849844511111,145,"1,732","1,732","7,554.0",4.36,"4,010","4,010",666,0.391,10,1,"$4,350.00",$534.00
BRONX,MONROE,88,40.822615,-73.865046,0.663021390619048,88,"1,100","1,102","5,299.0",4.82,"2,691","2,691",403,0.369,12,1,"$3,100.00",$526.00
BROOKLYN,"UNITY PLAZA (SITES 17,24,25A)",240,40.66824,-73.896779,0.793444457977778,261,167,167,768.5,4.6,471,471,41,0.247,3,0,"$6,699.00",$583.00
BRONX,MOORE,129,40.812868,-73.909992,0.6409816517,93,463,463,"2,165.5",4.68,"1,133","1,133",157,0.343,2,0,"$3,350.00",$520.00
BRONX,MORRIS I,102,40.834252,-73.905359,0.776777948823529,102,"1,083","1,085","5,237.5",4.84,"2,889","2,889",364,0.338,10,0,"$4,008.00",$499.00
BRONX,MORRIS II,502,40.836636,-73.903741,0.750119636066667,102,802,802,"3,765.0",4.69,"1,989","1,989",268,0.338,7,0,"$4,008.00",$507.00
MANHATTAN,MORRIS PARK SENIOR CITIZENS HOME,277,40.805498,-73.941592,0.812988840541667,241,97,97,296.5,3.06,103,103,83,0.865,1,0,"$6,337.00",$302.00
BRONX,MORRISANIA,130,40.832847,-73.906663,0.599540954982456,141,206,206,962.0,4.67,531,531,69,0.34,2,0,"$3,891.00",$449.00
